metric,original,tta_only,delta
Accuracy,0.7791411042944786,0.7822085889570553,0.0030674846625766694
Sensitivity,0.7246376811594203,0.7318840579710145,0.007246376811594235
Specificity,0.8191489361702128,0.8191489361702128,0.0
F1-Score,0.7352941176470589,0.73992673992674,0.004632622279681087
AUC-ROC,0.8617021276595745,0.8696808510638298,0.007978723404255206
