model,accuracy,sensitivity,specificity,f1,roc_auc,best_val_accuracy
Original tuned,0.7791411042944786,0.7246376811594203,0.8191489361702128,0.7352941176470589,0.8617021276595745,0.8048780487804879
Regularized follow-up,0.7361963190184049,0.717391304347826,0.75,0.6971830985915493,0.843509096515572,0.725609756097561
