display_name,threshold,accuracy,sensitivity,specificity,f1,roc_auc
Main (t=0.50),0.5,0.7524,0.7246,0.7735,0.7168,0.839
Crossover (t=0.485),0.485,0.7429,0.7464,0.7403,0.7153,0.839
High-Sensitivity (t=0.305),0.305,0.7618,0.913,0.6464,0.7683,0.839
