threshold,accuracy,sensitivity,specificity,f1,roc_auc,sens_minus_spec
0.01,0.4670846394984326,1.0,0.06077348066298342,0.6188340807174888,0.8389783009047964,0.9392265193370166
0.015,0.4952978056426332,1.0,0.11049723756906077,0.631578947368421,0.8389783009047964,0.8895027624309393
0.02,0.5078369905956113,1.0,0.13259668508287292,0.6374133949191686,0.8389783009047964,0.8674033149171271
0.025,0.5517241379310345,0.9927536231884058,0.2154696132596685,0.657074340527578,0.8389783009047964,0.7772840099287373
0.03,0.5517241379310345,0.9927536231884058,0.2154696132596685,0.657074340527578,0.8389783009047964,0.7772840099287373
0.035,0.5579937304075235,0.9927536231884058,0.2265193370165746,0.6602409638554216,0.8389783009047964,0.7662342861718312
0.04,0.5579937304075235,0.9927536231884058,0.2265193370165746,0.6602409638554216,0.8389783009047964,0.7662342861718312
0.045,0.5611285266457681,0.9927536231884058,0.23204419889502761,0.6618357487922706,0.8389783009047964,0.7607094242933782
0.05,0.5642633228840125,0.9927536231884058,0.23756906077348067,0.6634382566585957,0.8389783009047964,0.7551845624149252
0.055,0.567398119122257,0.9927536231884058,0.2430939226519337,0.6650485436893204,0.8389783009047964,0.749659700536472
0.06,0.5736677115987461,0.9927536231884058,0.2541436464088398,0.6682926829268293,0.8389783009047964,0.738609976779566
0.065,0.5862068965517241,0.9927536231884058,0.27624309392265195,0.6748768472906403,0.8389783009047964,0.7165105292657539
0.07,0.6018808777429467,0.9927536231884058,0.30386740331491713,0.683291770573566,0.8389783009047964,0.6888862198734886
0.075,0.6050156739811913,0.9927536231884058,0.30939226519337015,0.685,0.8389783009047964,0.6833613579950356
0.08,0.6018808777429467,0.9855072463768116,0.30939226519337015,0.681704260651629,0.8389783009047964,0.6761149811834415
0.085,0.6018808777429467,0.9855072463768116,0.30939226519337015,0.681704260651629,0.8389783009047964,0.6761149811834415
0.09,0.6144200626959248,0.9855072463768116,0.3314917127071823,0.6886075949367089,0.8389783009047964,0.6540155336696294
0.095,0.6363636363636364,0.9855072463768116,0.3701657458563536,0.7010309278350515,0.8389783009047964,0.6153415005204581
0.1,0.6426332288401254,0.9855072463768116,0.3812154696132597,0.7046632124352331,0.8389783009047964,0.604291776763552
0.105,0.64576802507837,0.9855072463768116,0.3867403314917127,0.7064935064935065,0.8389783009047964,0.5987669148850989
0.11,0.64576802507837,0.9855072463768116,0.3867403314917127,0.7064935064935065,0.8389783009047964,0.5987669148850989
0.115,0.64576802507837,0.9855072463768116,0.3867403314917127,0.7064935064935065,0.8389783009047964,0.5987669148850989
0.12,0.6520376175548589,0.9855072463768116,0.39779005524861877,0.7101827676240209,0.8389783009047964,0.5877171911281929
0.125,0.6489028213166145,0.9782608695652174,0.39779005524861877,0.7068062827225131,0.8389783009047964,0.5804708143165986
0.13,0.6489028213166145,0.9782608695652174,0.39779005524861877,0.7068062827225131,0.8389783009047964,0.5804708143165986
0.135,0.6489028213166145,0.9782608695652174,0.39779005524861877,0.7068062827225131,0.8389783009047964,0.5804708143165986
0.14,0.658307210031348,0.9782608695652174,0.4143646408839779,0.712401055408971,0.8389783009047964,0.5638962286812395
0.145,0.658307210031348,0.9782608695652174,0.4143646408839779,0.712401055408971,0.8389783009047964,0.5638962286812395
0.15,0.658307210031348,0.9782608695652174,0.4143646408839779,0.712401055408971,0.8389783009047964,0.5638962286812395
0.155,0.677115987460815,0.9782608695652174,0.44751381215469616,0.7238605898123325,0.8389783009047964,0.5307470574105213
0.16,0.6896551724137931,0.9782608695652174,0.4696132596685083,0.7317073170731707,0.8389783009047964,0.5086476098967091
0.165,0.6865203761755486,0.9637681159420289,0.47513812154696133,0.726775956284153,0.8389783009047964,0.4886299943950676
0.17,0.6833855799373041,0.9565217391304348,0.47513812154696133,0.7232876712328767,0.8389783009047964,0.4813836175834735
0.175,0.7021943573667712,0.9565217391304348,0.5082872928176796,0.7353760445682451,0.8389783009047964,0.4482344463127552
0.18,0.7021943573667712,0.9565217391304348,0.5082872928176796,0.7353760445682451,0.8389783009047964,0.4482344463127552
0.185,0.7084639498432602,0.9565217391304348,0.5193370165745856,0.7394957983193278,0.8389783009047964,0.43718472255584917
0.19,0.7053291536050157,0.9492753623188406,0.5193370165745856,0.7359550561797753,0.8389783009047964,0.42993834574425493
0.195,0.7021943573667712,0.9420289855072463,0.5193370165745856,0.7323943661971831,0.8389783009047964,0.4226919689326607
0.2,0.7053291536050157,0.9420289855072463,0.5248618784530387,0.7344632768361582,0.8389783009047964,0.4171671070542077
0.205,0.7115987460815048,0.9420289855072463,0.5359116022099447,0.7386363636363636,0.8389783009047964,0.4061173832973016
0.21,0.7147335423197492,0.9420289855072463,0.5414364640883977,0.7407407407407407,0.8389783009047964,0.4005925214188486
0.215,0.7178683385579937,0.9420289855072463,0.5469613259668509,0.7428571428571429,0.8389783009047964,0.39506765954039547
0.22,0.7178683385579937,0.9420289855072463,0.5469613259668509,0.7428571428571429,0.8389783009047964,0.39506765954039547
0.225,0.7210031347962382,0.9420289855072463,0.5524861878453039,0.7449856733524355,0.8389783009047964,0.38954279766194244
0.23,0.7272727272727273,0.9420289855072463,0.56353591160221,0.7492795389048992,0.8389783009047964,0.3784930739050364
0.235,0.7241379310344828,0.9347826086956522,0.56353591160221,0.7456647398843931,0.8389783009047964,0.37124669709344227
0.24,0.7335423197492164,0.9347826086956522,0.580110497237569,0.7521865889212828,0.8389783009047964,0.3546721114580832
0.245,0.7335423197492164,0.9347826086956522,0.580110497237569,0.7521865889212828,0.8389783009047964,0.3546721114580832
0.25,0.7398119122257053,0.9347826086956522,0.5911602209944752,0.7565982404692082,0.8389783009047964,0.34362238770117703
0.255,0.7460815047021944,0.9347826086956522,0.6022099447513812,0.7610619469026548,0.8389783009047964,0.332572663944271
0.26,0.7460815047021944,0.9347826086956522,0.6022099447513812,0.7610619469026548,0.8389783009047964,0.332572663944271
0.265,0.7460815047021944,0.9130434782608695,0.6187845303867403,0.7567567567567568,0.8389783009047964,0.2942589478741292
0.27,0.7460815047021944,0.9130434782608695,0.6187845303867403,0.7567567567567568,0.8389783009047964,0.2942589478741292
0.275,0.7492163009404389,0.9130434782608695,0.6243093922651933,0.7590361445783133,0.8389783009047964,0.2887340859956762
0.28,0.7492163009404389,0.9130434782608695,0.6243093922651933,0.7590361445783133,0.8389783009047964,0.2887340859956762
0.285,0.7523510971786834,0.9130434782608695,0.6298342541436464,0.7613293051359517,0.8389783009047964,0.28320922411722316
0.29,0.7523510971786834,0.9130434782608695,0.6298342541436464,0.7613293051359517,0.8389783009047964,0.28320922411722316
0.295,0.7523510971786834,0.9130434782608695,0.6298342541436464,0.7613293051359517,0.8389783009047964,0.28320922411722316
0.3,0.7554858934169278,0.9130434782608695,0.6353591160220995,0.7636363636363637,0.8389783009047964,0.27768436223877
0.305,0.7617554858934169,0.9130434782608695,0.6464088397790055,0.7682926829268293,0.8389783009047964,0.266634638481864
0.31,0.7586206896551724,0.9057971014492754,0.6464088397790055,0.764525993883792,0.8389783009047964,0.25938826167026985
0.315,0.7586206896551724,0.9057971014492754,0.6464088397790055,0.764525993883792,0.8389783009047964,0.25938826167026985
0.32,0.7554858934169278,0.8985507246376812,0.6464088397790055,0.7607361963190185,0.8389783009047964,0.2521418848586756
0.325,0.7586206896551724,0.8985507246376812,0.6519337016574586,0.7630769230769231,0.8389783009047964,0.2466170229802226
0.33,0.7460815047021944,0.8695652173913043,0.6519337016574586,0.7476635514018691,0.8389783009047964,0.21763151573384576
0.335,0.7460815047021944,0.8695652173913043,0.6519337016574586,0.7476635514018691,0.8389783009047964,0.21763151573384576
0.34,0.7492163009404389,0.8695652173913043,0.6574585635359116,0.75,0.8389783009047964,0.21210665385539273
0.345,0.7523510971786834,0.8695652173913043,0.6629834254143646,0.7523510971786834,0.8389783009047964,0.2065817919769397
0.35,0.7460815047021944,0.8478260869565217,0.6685082872928176,0.7428571428571429,0.8389783009047964,0.1793177996637041
0.355,0.7460815047021944,0.8478260869565217,0.6685082872928176,0.7428571428571429,0.8389783009047964,0.1793177996637041
0.36,0.7460815047021944,0.8478260869565217,0.6685082872928176,0.7428571428571429,0.8389783009047964,0.1793177996637041
0.365,0.7460815047021944,0.8478260869565217,0.6685082872928176,0.7428571428571429,0.8389783009047964,0.1793177996637041
0.37,0.7460815047021944,0.8478260869565217,0.6685082872928176,0.7428571428571429,0.8389783009047964,0.1793177996637041
0.375,0.7460815047021944,0.8478260869565217,0.6685082872928176,0.7428571428571429,0.8389783009047964,0.1793177996637041
0.38,0.7460815047021944,0.8478260869565217,0.6685082872928176,0.7428571428571429,0.8389783009047964,0.1793177996637041
0.385,0.7460815047021944,0.8478260869565217,0.6685082872928176,0.7428571428571429,0.8389783009047964,0.1793177996637041
0.39,0.7460815047021944,0.8478260869565217,0.6685082872928176,0.7428571428571429,0.8389783009047964,0.1793177996637041
0.395,0.7460815047021944,0.8405797101449275,0.6740331491712708,0.7412140575079872,0.8389783009047964,0.16654656097365672
0.4,0.7492163009404389,0.8405797101449275,0.6795580110497238,0.7435897435897436,0.8389783009047964,0.1610216990952037
0.405,0.7523510971786834,0.8405797101449275,0.6850828729281768,0.7459807073954984,0.8389783009047964,0.15549683721675067
0.41,0.7523510971786834,0.8405797101449275,0.6850828729281768,0.7459807073954984,0.8389783009047964,0.15549683721675067
0.415,0.7492163009404389,0.8333333333333334,0.6850828729281768,0.7419354838709677,0.8389783009047964,0.14825046040515655
0.42,0.7523510971786834,0.8333333333333334,0.6906077348066298,0.7443365695792881,0.8389783009047964,0.14272559852670352
0.425,0.7492163009404389,0.8260869565217391,0.6906077348066298,0.7402597402597403,0.8389783009047964,0.1354792217151093
