model,n,pointing_%,pointing@15px_%,energy_conc,conc_ratio_x,pixel_ap,pixel_auroc,iou@0.5,peak_in_padding_%,median_peak_dist_px
densenet121,319,9.717868338557993,15.360501567398119,0.027181425614625433,2.744402147217933,0.09728166675339517,0.6114554436398262,0.035123577059593694,1.8808777429467085,176.23847480048164
efficientnet_b2,319,8.77742946708464,16.614420062695924,0.031990877809264795,3.383898659602938,0.07535697192443842,0.6208706018147637,0.04644548564495994,1.5673981191222568,142.41137595009747
resnet50,319,9.090909090909092,16.927899686520377,0.03660204774129365,4.25848697330926,0.08983924980848301,0.6547227871621536,0.04868451282230105,1.2539184952978055,153.7693077307692
vgg16,319,16.927899686520377,23.197492163009404,0.04741218827944092,5.92045468051984,0.15170444319075335,0.66059267464002,0.07608490975174766,2.507836990595611,147.16657229140046
