Architecture,IoU,Dice,PointingGameAcc_%
VGG-16,0.07608490975174766,0.11018904260505506,16.927899686520377
EfficientNet-B2,0.04644548564495994,0.07577846683741091,8.77742946708464
ResNet-50,0.04868451282230105,0.0752230820876215,9.090909090909092
DenseNet121,0.035123577059593694,0.05837942930728175,9.717868338557993
