arch,n,tau,IoU,IoU_95CI,Dice,Dice_95CI,PointingAcc_%,PGA_95CI_%,PGA@15px_%,conc_ratio_x,peak_in_pad_%
vgg16,319,0.5,0.07608490975174766,"[0.059, 0.094]",0.11018904260505506,"[0.086, 0.134]",16.927899686520377,"[12.9, 21.0]",23.197492163009404,5.92045468051984,2.507836990595611
efficientnet_b2,319,0.5,0.04644548564495994,"[0.037, 0.057]",0.07577846683741091,"[0.061, 0.092]",8.77742946708464,"[5.6, 11.9]",16.614420062695924,3.383898659602938,1.5673981191222568
resnet50,319,0.5,0.04868451282230105,"[0.036, 0.062]",0.0752230820876215,"[0.057, 0.093]",9.090909090909092,"[6.3, 12.5]",16.927899686520377,4.25848697330926,1.2539184952978055
densenet121,319,0.5,0.035123577059593694,"[0.027, 0.044]",0.05837942930728175,"[0.046, 0.072]",9.717868338557993,"[6.6, 13.5]",15.360501567398119,2.744402147217933,1.8808777429467085
