arch,tau,IoU,iou_lo,iou_hi,Dice,dice_lo,dice_hi,PGA_%,pga_lo_%,pga_hi_%,conc_ratio_x,peak_in_pad_%
vgg16,0.5,0.07608490975174766,0.05928459877055347,0.09519357406035023,0.11018904260505506,0.08799022354122574,0.13502763426909897,16.927899686520377,12.852664576802509,21.003134796238246,5.92045468051984,2.507836990595611
efficientnet_b2,0.5,0.04644548564495994,0.036271372250239006,0.05708995246257533,0.07577846683741091,0.06036190432246856,0.09124840532841356,8.77742946708464,5.956112852664576,12.225705329153605,3.383898659602938,1.5673981191222568
resnet50,0.5,0.04868451282230105,0.03647429102067059,0.061558193594816964,0.0752230820876215,0.05811835041381708,0.0937934487931529,9.090909090909092,5.956112852664576,12.539184952978054,4.25848697330926,1.2539184952978055
densenet121,0.5,0.035123577059593694,0.026443416853304175,0.0438626639271679,0.05837942930728175,0.0450580694076867,0.07159020126548284,9.717868338557993,6.583072100313479,13.166144200626958,2.744402147217933,1.8808777429467085
