model,architecture,hires_acc,hires_acc_lo,hires_acc_hi,hires_auc,hires_auc_lo,hires_auc_hi,hires_sens,hires_spec,dual_acc_same_split,dual_auc_same_split,delta_acc,delta_acc_lo,delta_acc_hi,delta_auc,mcnemar_hires_only,mcnemar_dual_only,mcnemar_p,train_minutes,best_epoch,dual_input_acc,dual_input_auc,three_input_acc,three_input_auc,single_224_acc,single_224_auc
DenseNet121,densenet121,0.7523510971786834,0.7053291536050157,0.799373040752351,0.8389783009047964,0.7956383917160831,0.8787301867603229,0.7246376811594203,0.7734806629834254,0.786833855799373,0.8654816238289695,-0.03448275862068961,-0.08777429467084641,0.018808777429467075,-0.026503322924173123,33,44,0.2543046661477,71.7,19,0.7791411042944786,0.8617021276595745,0.771875,0.8471890428412167,0.6840490797546013,0.7559744064138144
VGG-16,vgg16,0.7272727272727273,0.677115987460815,0.774294670846395,0.8328128753302907,0.7894909931331844,0.8731635879004152,0.7391304347826086,0.7182320441988951,0.7523510971786834,0.8401793578348948,-0.025078369905956133,-0.07836990595611293,0.03448275862068961,-0.007366482504604144,38,46,0.4452046690465761,37.3,10,0.745398773006135,0.8342584027135368,0.690625,0.7798614429049212,0.696319018404908,0.7641843971631206
EfficientNet-B2,efficientnet_b2,0.7147335423197492,0.6644984326018809,0.7648902821316614,0.813315717831692,0.7674049220886423,0.8583057175069226,0.6956521739130435,0.7292817679558011,0.774294670846395,0.8515093282088237,-0.05956112852664586,-0.12225705329153602,0.0031347962382445305,-0.03819361037713176,38,57,0.064212806627131,34.4,17,0.7699386503067485,0.8447425223558434,0.728125,0.838987099856665,0.6748466257668712,0.7489978415047795
ResNet-50,resnet50,0.7021943573667712,0.6520376175548589,0.7492163009404389,0.7938585955640964,0.7437989336541208,0.8396236883923036,0.6884057971014492,0.712707182320442,0.7210031347962382,0.8014652894547202,-0.018808777429467072,-0.0752351097178684,0.037617554858934144,-0.007606693890623739,42,48,0.5984117182335189,37.7,20,0.7177914110429447,0.7967545482577859,0.696875,0.7847587195413283,0.656441717791411,0.7187018193031145
