epoch,phase,train_loss,train_cls,train_seg,val_loss,val_cls,val_seg,train_acc,val_acc,val_auc,student_beats_teacher,teacher_beats_student
1,1,0.7038754171456773,0.7038754171456773,0.0,0.6787527370904146,0.6787527370904146,0.0,0.5802715654952076,0.580441640378549,0.6109431186662307,0.10410094637223975,0.3249211356466877
2,1,0.692444517970466,0.692444517970466,0.0,0.6571052293484143,0.6571052293484143,0.0,0.5802715654952076,0.580441640378549,0.6494769532526969,0.10410094637223975,0.3249211356466877
3,1,0.6818260051571904,0.6818260051571904,0.0,0.6598282138631923,0.6598282138631923,0.0,0.588258785942492,0.580441640378549,0.6631660673422687,0.10410094637223975,0.3249211356466877
4,1,0.664949825396553,0.664949825396553,0.0,0.6162499884137596,0.6162499884137596,0.0,0.5910543130990416,0.5899053627760252,0.6685599869238313,0.10410094637223975,0.31545741324921134
5,1,0.6455210432076988,0.6455210432076988,0.0,0.5991990254128393,0.5991990254128393,0.0,0.5990415335463258,0.6309148264984227,0.6668641712978097,0.10094637223974763,0.27129337539432175
6,2,0.5859669014668694,0.5859669014668694,0.0,0.5328014127275545,0.5328014127275545,0.0,0.6293929712460063,0.6340694006309149,0.7304674730304019,0.0946372239747634,0.2618296529968454
7,2,0.5239128708458556,0.5239128708458556,0.0,0.5274148158470539,0.5274148158470539,0.0,0.6669329073482428,0.6498422712933754,0.7378228179143512,0.07886435331230283,0.2302839116719243
8,2,0.5048815877959371,0.5048815877959371,0.0,0.49336018077206534,0.49336018077206534,0.0,0.6841054313099042,0.694006309148265,0.7644450800915331,0.08201892744479496,0.1892744479495268
9,2,0.48665383877083895,0.48665383877083895,0.0,0.446997035659074,0.446997035659074,0.0,0.6884984025559105,0.6876971608832808,0.7686948349133704,0.08201892744479496,0.19558359621451105
10,2,0.4647258689133123,0.4647258689133123,0.0,0.4398097434442502,0.4398097434442502,0.0,0.7156549520766773,0.7160883280757098,0.7904952598888525,0.08517350157728706,0.17034700315457413
11,2,0.4644637942409363,0.4644637942409363,0.0,0.40767039306908376,0.40767039306908376,0.0,0.7104632587859425,0.7160883280757098,0.8135420071918927,0.0694006309148265,0.15457413249211358
12,2,0.4534890782147551,0.4534890782147551,0.0,0.4181556848321427,0.4181556848321427,0.0,0.7088658146964856,0.7066246056782335,0.8068609022556391,0.0694006309148265,0.1640378548895899
13,2,0.43039225165645917,0.43039225165645917,0.0,0.4227956331302691,0.4227956331302691,0.0,0.735223642172524,0.7381703470031545,0.811253677672442,0.0946372239747634,0.15772870662460567
14,2,0.41787749576492433,0.41787749576492433,0.0,0.4106536930667865,0.4106536930667865,0.0,0.7472044728434505,0.722397476340694,0.81055900621118,0.07886435331230283,0.15772870662460567
15,2,0.40912029423271884,0.40912029423271884,0.0,0.41516023178581934,0.41516023178581934,0.0,0.7432108626198083,0.7287066246056783,0.8065748610657076,0.08201892744479496,0.15457413249211358
16,2,0.4024066987890786,0.4024066987890786,0.0,0.4094432761616511,0.4094432761616511,0.0,0.7659744408945687,0.7003154574132492,0.7993625367767244,0.07255520504731862,0.17350157728706625
17,2,0.38786417569596165,0.38786417569596165,0.0,0.4027485486460785,0.4027485486460785,0.0,0.7711661341853036,0.7350157728706624,0.8068404707420725,0.08201892744479496,0.14826498422712933
18,2,0.37676150335100134,0.37676150335100134,0.0,0.4077058244578846,0.4077058244578846,0.0,0.7763578274760383,0.7160883280757098,0.8121935272965021,0.08201892744479496,0.167192429022082
19,2,0.36871996155371684,0.36871996155371684,0.0,0.392681175413944,0.392681175413944,0.0,0.7811501597444089,0.7129337539432177,0.8064727034978751,0.06624605678233439,0.15457413249211358
20,2,0.35151062667750704,0.35151062667750704,0.0,0.40065798868516267,0.40065798868516267,0.0,0.8031150159744409,0.7381703470031545,0.8095578620464204,0.08517350157728706,0.14826498422712933
21,2,0.35939205168916016,0.35939205168916016,0.0,0.41470394788856385,0.41470394788856385,0.0,0.7999201277955271,0.6876971608832808,0.7936008499509642,0.07570977917981073,0.1892744479495268
22,2,0.33072215770951474,0.33072215770951474,0.0,0.4211063245869585,0.4211063245869585,0.0,0.8186900958466453,0.6876971608832808,0.7899231775089897,0.06309148264984227,0.17665615141955837
23,2,0.34927124046860414,0.34927124046860414,0.0,0.41131737555615155,0.41131737555615155,0.0,0.810702875399361,0.7003154574132492,0.7999550506701537,0.07255520504731862,0.17350157728706625
24,2,0.33211775776296376,0.33211775776296376,0.0,0.44938099572335133,0.44938099572335133,0.0,0.8130990415335463,0.6845425867507886,0.7816688460281138,0.07570977917981073,0.19242902208201892
25,2,0.33119022717681557,0.33119022717681557,0.0,0.41382942327565575,0.41382942327565575,0.0,0.8170926517571885,0.7034700315457413,0.7994442628309906,0.07570977917981073,0.17350157728706625
26,2,0.31485003080611795,0.31485003080611795,0.0,0.4205077815131058,0.4205077815131058,0.0,0.8286741214057508,0.7129337539432177,0.7992399476953252,0.07570977917981073,0.1640378548895899
27,2,0.30363866025076125,0.30363866025076125,0.0,0.41669577002901387,0.41669577002901387,0.0,0.8430511182108626,0.7003154574132492,0.793396534815299,0.07255520504731862,0.17350157728706625
