name,model,architecture,arm,pooling,alpha,batch_size,seed,epochs_run,best_epoch,best_val_loss,best_val_acc,best_val_auc,val_seg_dice,accuracy,roc_auc,sensitivity,specificity,f1,train_minutes,checkpoint
hires_control_gap_a0.5_densenet121,DenseNet121,densenet121,control,gap,0.5,8,42,27,19,0.392681175413944,0.7129337539432177,0.8064727034978751,,0.7554858934169278,0.8387781247497798,0.7246376811594203,0.7790055248618785,0.7194244604316546,71.7,checkpoints\hires_control_gap_a0.5_densenet121.pth
hires_control_gap_a0.5_resnet50,ResNet-50,resnet50,control,gap,0.5,8,42,28,20,0.3534747433587203,0.7634069400630915,0.8158711997384767,,0.7115987460815048,0.8021258707662744,0.7246376811594203,0.7016574585635359,0.684931506849315,37.7,checkpoints\hires_control_gap_a0.5_resnet50.pth
hires_control_gap_a0.5_efficientnet_b2,EfficientNet-B2,efficientnet_b2,control,gap,0.5,8,42,25,17,0.3806946458124588,0.7444794952681388,0.8297646289637136,,0.7241379310344828,0.8159580430779085,0.7318840579710145,0.7182320441988951,0.696551724137931,34.4,checkpoints\hires_control_gap_a0.5_efficientnet_b2.pth
hires_control_gap_a0.5_vgg16,VGG-16,vgg16,control,gap,0.5,8,42,18,10,0.3893242933396661,0.7570977917981072,0.8318077803203661,,0.7241379310344828,0.8324925934822643,0.7318840579710145,0.7182320441988951,0.696551724137931,37.3,checkpoints\hires_control_gap_a0.5_vgg16.pth
