epoch,phase,train_loss,train_cls,train_seg,val_loss,val_cls,val_seg,train_acc,val_acc,val_auc,student_beats_teacher,teacher_beats_student
1,1,0.6139967275884586,0.6139967275884586,0.0,0.6881454870903906,0.6881454870903906,0.0,0.579073482428115,0.580441640378549,0.5638893429225237,0.15772870662460567,0.3438485804416404
2,1,0.5990584497444165,0.5990584497444165,0.0,0.6731031597224696,0.6731031597224696,0.0,0.5898562300319489,0.5899053627760252,0.6127002288329519,0.15141955835962145,0.3280757097791798
3,1,0.5728713942411989,0.5728713942411989,0.0,0.653795208088607,0.653795208088607,0.0,0.6050319488817891,0.5867507886435331,0.6316402419091206,0.09779179810725552,0.277602523659306
4,1,0.555596254599361,0.555596254599361,0.0,0.6316042758688942,0.6316042758688942,0.0,0.6094249201277955,0.5899053627760252,0.6452067669172932,0.1167192429022082,0.29337539432176657
5,1,0.5383153257849879,0.5383153257849879,0.0,0.6143121410055491,0.6143121410055491,0.0,0.6182108626198083,0.6056782334384858,0.6651683556717882,0.11987381703470032,0.2807570977917981
6,2,0.49448726090569844,0.49448726090569844,0.0,0.5401096237758732,0.5401096237758732,0.0,0.6569488817891374,0.6340694006309149,0.7202925792742725,0.10094637223974763,0.2334384858044164
7,2,0.4399394072092379,0.4399394072092379,0.0,0.4790519538926025,0.4790519538926025,0.0,0.700479233226837,0.6719242902208202,0.7480590062111802,0.08201892744479496,0.17665615141955837
8,2,0.41195069919950283,0.41195069919950283,0.0,0.4567302822690657,0.4567302822690657,0.0,0.7156549520766773,0.7034700315457413,0.7591533180778032,0.08832807570977919,0.15141955835962145
9,2,0.3843867822100941,0.3843867822100941,0.0,0.4185469611210026,0.4185469611210026,0.0,0.7436102236421726,0.7192429022082019,0.8007314481856816,0.07570977917981073,0.12302839116719243
10,2,0.3562809978715909,0.3562809978715909,0.0,0.3893242933396661,0.3893242933396661,0.0,0.7603833865814696,0.7570977917981072,0.8318077803203661,0.0946372239747634,0.10410094637223975
11,2,0.3375695578206461,0.3375695578206461,0.0,0.4128189638774102,0.4128189638774102,0.0,0.7695686900958466,0.722397476340694,0.8097008826413861,0.0946372239747634,0.138801261829653
12,2,0.3268705945426283,0.3268705945426283,0.0,0.42014072276064274,0.42014072276064274,0.0,0.7823482428115016,0.6971608832807571,0.8100277868584504,0.0914826498422713,0.1608832807570978
13,2,0.3201870123227945,0.3201870123227945,0.0,0.40690228615649493,0.40690228615649493,0.0,0.7823482428115016,0.722397476340694,0.8357101994115724,0.0914826498422713,0.13564668769716087
14,2,0.30600009477747897,0.30600009477747897,0.0,0.39953886409663253,0.39953886409663253,0.0,0.7915335463258786,0.7192429022082019,0.82355344883949,0.08832807570977919,0.13564668769716087
15,2,0.30555281847620164,0.30555281847620164,0.0,0.4105979954406666,0.4105979954406666,0.0,0.8047124600638977,0.7318611987381703,0.8143796992481203,0.09779179810725552,0.13249211356466878
16,2,0.296449781130678,0.296449781130678,0.0,0.41576395425886764,0.41576395425886764,0.0,0.8238817891373802,0.7160883280757098,0.821918927754168,0.0914826498422713,0.14195583596214512
17,2,0.27388053604017815,0.27388053604017815,0.0,0.4041575821416235,0.4041575821416235,0.0,0.8378594249201278,0.722397476340694,0.8255148741418764,0.0946372239747634,0.138801261829653
18,2,0.2648506433057328,0.2648506433057328,0.0,0.4010019815682613,0.4010019815682613,0.0,0.8438498402555911,0.7192429022082019,0.8233491337038248,0.10410094637223975,0.15141955835962145
