epoch,phase,train_loss,train_cls,train_seg,val_loss,val_cls,val_seg,train_acc,val_acc,val_auc,student_beats_teacher,teacher_beats_student
1,1,0.6328835889173392,0.6328835889173392,0.0,0.6424276133064968,0.6424276133064968,0.0,0.5822683706070287,0.580441640378549,0.6438787185354691,0.08832807570977919,0.2555205047318612
2,1,0.5984291234336341,0.5984291234336341,0.0,0.5891473408001079,0.5891473408001079,0.0,0.5886581469648562,0.5899053627760252,0.6838631905851585,0.0946372239747634,0.25236593059936907
3,1,0.5696535040014468,0.5696535040014468,0.0,0.5697676344812856,0.5697676344812856,0.0,0.5910543130990416,0.5930599369085173,0.6915658711997386,0.10725552050473186,0.2618296529968454
4,1,0.548800358280968,0.548800358280968,0.0,0.5197727860712479,0.5197727860712479,0.0,0.6058306709265175,0.6340694006309149,0.7124673095782935,0.11356466876971609,0.22712933753943218
5,1,0.5409983499362446,0.5409983499362446,0.0,0.5081979830746395,0.5081979830746395,0.0,0.6166134185303515,0.6214511041009464,0.7256252043151356,0.11041009463722397,0.23659305993690852
6,2,0.5079929783892708,0.5079929783892708,0.0,0.47588988903569124,0.47588988903569124,0.0,0.6441693290734825,0.6498422712933754,0.7376593658058189,0.11356466876971609,0.2113564668769716
7,2,0.47510503370540974,0.47510503370540974,0.0,0.4711436980906345,0.4711436980906345,0.0,0.6725239616613419,0.6593059936908517,0.748406341941811,0.11356466876971609,0.20189274447949526
8,2,0.4656359908965449,0.4656359908965449,0.0,0.4663098641562537,0.4663098641562537,0.0,0.6681309904153354,0.6656151419558359,0.7437888198757765,0.1167192429022082,0.19873817034700317
9,2,0.4503442194229498,0.4503442194229498,0.0,0.4411836538217045,0.4411836538217045,0.0,0.6813099041533547,0.6624605678233438,0.7569875776397514,0.10725552050473186,0.19242902208201892
10,2,0.4298556484162998,0.4298556484162998,0.0,0.40948899236011205,0.40948899236011205,0.0,0.6992811501597445,0.7034700315457413,0.7813828048381825,0.12618296529968454,0.17034700315457413
11,2,0.43081542421072816,0.43081542421072816,0.0,0.4030508775064246,0.4030508775064246,0.0,0.702076677316294,0.7318611987381703,0.7910060477280156,0.12618296529968454,0.14195583596214512
12,2,0.40973991260360987,0.40973991260360987,0.0,0.4093990053288192,0.4093990053288192,0.0,0.7216453674121406,0.7129337539432177,0.7878391631252043,0.12618296529968454,0.1608832807570978
13,2,0.397503365581028,0.397503365581028,0.0,0.39648238548344994,0.39648238548344994,0.0,0.7284345047923323,0.7066246056782335,0.7971559333115398,0.10725552050473186,0.14826498422712933
14,2,0.3898153365039216,0.3898153365039216,0.0,0.3937019154852497,0.3937019154852497,0.0,0.7336261980830671,0.7097791798107256,0.8042661000326904,0.11356466876971609,0.15141955835962145
15,2,0.3890459089043041,0.3890459089043041,0.0,0.3953470769176724,0.3953470769176724,0.0,0.7368210862619808,0.7350157728706624,0.8044295521412226,0.12933753943217666,0.14195583596214512
16,2,0.36787471889306944,0.36787471889306944,0.0,0.39463043288101535,0.39463043288101535,0.0,0.7571884984025559,0.7350157728706624,0.816238966982674,0.13564668769716087,0.14826498422712933
17,2,0.35891604209289,0.35891604209289,0.0,0.3806946458124588,0.3806946458124588,0.0,0.7667731629392971,0.7444794952681388,0.8297646289637136,0.13564668769716087,0.138801261829653
18,2,0.36260979101299856,0.36260979101299856,0.0,0.39104987300156796,0.39104987300156796,0.0,0.7695686900958466,0.7192429022082019,0.8200596600196143,0.12302839116719243,0.15141955835962145
19,2,0.3540273448720146,0.3540273448720146,0.0,0.40772216167735753,0.40772216167735753,0.0,0.7739616613418531,0.7350157728706624,0.8076781627983001,0.11987381703470032,0.13249211356466878
20,2,0.3415026451928166,0.3415026451928166,0.0,0.39649156506881356,0.39649156506881356,0.0,0.7819488817891374,0.7570977917981072,0.8294377247466493,0.14195583596214512,0.13249211356466878
21,2,0.342697729508336,0.342697729508336,0.0,0.3848714821910256,0.3848714821910256,0.0,0.7767571884984026,0.7476340694006309,0.8396739130434783,0.14195583596214512,0.14195583596214512
22,2,0.330947090309268,0.330947090309268,0.0,0.4011121486263696,0.4011121486263696,0.0,0.7975239616613419,0.7350157728706624,0.8207747629944426,0.10725552050473186,0.11987381703470032
23,2,0.32577685788035776,0.32577685788035776,0.0,0.3813376505668231,0.3813376505668231,0.0,0.7931309904153354,0.7444794952681388,0.8301936907486106,0.12302839116719243,0.12618296529968454
24,2,0.3151981160282708,0.3151981160282708,0.0,0.38754677640902885,0.38754677640902885,0.0,0.8019169329073482,0.7444794952681388,0.8282322654462243,0.12933753943217666,0.13249211356466878
25,2,0.3225142623479374,0.3225142623479374,0.0,0.38141953305867193,0.38141953305867193,0.0,0.7951277955271565,0.7476340694006309,0.829703334423014,0.12302839116719243,0.12302839116719243
